"app name","APK","occurrences"
"block puzzle woody origin","1078160821","2084"
"sniper destiny : lone wolf","com.sniper.destiny.shooting","2075"
"cake sort puzzle 3d","com.gamebrain.piesort","2070"
"paper.io 2","1423046460","2060"
"one line: drawing puzzle game","com.draw.one.line","2059"
"audiomack: music downloader","com.audiomack","2058"
"samsung global goals","com.samsung.sree","2055"
"coffee break - cafe simulation","io.supercent.coffeebreak","2053"
"tile match - match 3 tiles","com.free.tile.match.puzzles","2046"
"match 3d blast matching games","com.puzzle.fun.free.matching3d","2042"
"shortmax - watch dramas & show","live.shorttv.apps","2042"
"puff up - balloon puzzle game","com.aa.puffup","2037"
"autocreated_9838_0c7d9h9b9w4t8u8y4u3t6u9e9p1g7a8_1","com.package.kayo","2034"
"toon blast","net.peakgames.toonblast","2031"
"chai: chat ai platform","com.beauchamp.messenger.external","2030"
"gold & goblins: idle merger","com.redcell.goldandgoblins","2027"
"london & uk live bus countdown","475360935","2019"
"snake clash!","6449243946","2019"
"the legend of fireball","com.superfunsoft.thelegendoffireball","2011"
"iron suit: superhero simulator","battle.iron.suit","2007"
"solitaire - classic card game","com.easybrain.solitaire.klondike.free","2002"
"hexa sorting puzzle","com.awesome.puzzlehexasort","2000"
"room sort","com.gamincat.roomsort","1997"
"solitaire classic","com.greyfun.card.solitaire.classic","1995"
"bubble shooter rainbow","com.blackout.bubble","1980"
"treasure master","com.gimica.treasuremaster","1978"
"dancing drums slots casino","com.sciplay.dancingdrumsslots","1975"
"match 3d","1502447854","1972"
"sugar hunter®: match 3 puzzle","com.superbox.aos.pekomatch","1968"
"ballz","com.ketchapp.ballz","1967"
"titan shoot: 3d gun action","com.kayac.titanshoot","1964"
"sudoku - classic sudoku puzzle","sudoku.classic.brain.number.puzzle.games","1963"
"pro darts 2024","com.iwaredesigns.prodarts","1960"
"solitaire collection","com.cardgame.collection.fishdom","1960"
"skincare time: makeover asmr","com.fc.p.gp.skincare.makeup.makeover.asmr.game","1955"
"scopa più - card games","718081110","1953"
